IncumplimientoPago,UsoCreditoDisponible,EdadCliente,Retrasos30_59Dias,PorcentajeDeDeuda,IngresoMensual,LineasCreditoActivas,Retrasos90DiasOMas,PrestamosInmobiliarios,Retrasos60_89Dias,CantidadDependientes
0,0.201523077,68,0,0.811835288,3666.0,18,0,3,0,0.0
1,1.313865702,46,0,4544.0,,18,0,1,0,1.0
0,0.9999999,34,0,0.120293236,3000.0,1,0,0,0,0.0
1,0.9999999,31,0,0.375423588,18000.0,5,0,4,0,2.0
0,0.216275034,51,0,0.388709203,3400.0,12,0,2,0,0.0
1,0.9999999,53,3,0.293630017,4583.0,4,1,0,0,1.0
0,0.023626359,46,0,4901.0,,15,0,1,0,1.0
1,1.071798668,43,0,0.67410863,3000.0,7,1,1,4,2.0
0,0.601794395,61,0,0.445512239,5514.0,10,0,1,0,0.0
1,0.601585041,53,3,1346.0,,9,0,0,0,0.0
0,0.346631408,42,2,0.626393084,9600.0,22,0,3,0,3.0
0,0.491903189,48,0,15968.0,,16,0,5,0,0.0
0,0.0,73,0,0.208928029,3292.0,3,0,1,0,0.0
1,0.228858908,76,0,0.509541082,6340.0,14,0,6,0,0.0
0,0.010361752,37,0,1470.0,,3,0,2,0,0.0
0,0.005902151,45,0,0.107315447,6000.0,4,0,0,0,2.0
1,0.050568605,57,1,0.002851451,25600.0,4,0,1,0,1.0
0,0.675314502,74,0,0.849691718,6000.0,15,0,2,0,0.0
0,0.014157038,55,0,0.077175698,7916.0,12,0,1,0,0.0
1,0.941138526,28,0,0.308996089,2300.0,4,1,0,0,0.0
1,0.573796369,36,0,0.322923173,1600.0,8,0,0,1,2.0
0,0.154947462,77,0,0.097268488,1500.0,5,0,0,0,0.0
1,1.824351297,48,0,0.009639414,2800.0,5,2,0,4,0.0
1,0.9999999,64,1,956.0,,4,1,1,0,0.0
1,0.591610519,32,0,0.268577141,3000.0,4,1,0,0,0.0
0,0.542794911,30,0,0.198228426,7450.0,6,0,0,0,1.0
1,0.95802099,40,0,0.424657534,1240.0,4,0,0,0,0.0
0,0.289198421,64,2,0.162359122,11800.0,12,0,1,0,0.0
0,0.123095607,45,0,0.818920916,4058.0,24,0,4,0,1.0
1,0.522606616,47,0,0.510578935,4300.0,12,0,1,0,1.0
0,0.952655667,48,1,0.693251534,2770.0,5,0,1,0,1.0
1,0.560505359,52,0,0.62090253,11500.0,15,0,2,0,0.0
0,0.081710951,28,0,0.03879027,1520.0,4,0,0,0,0.0
1,0.9999999,25,0,0.0,1.0,1,0,0,0,0.0
0,0.112995964,74,0,1656.0,,5,0,2,0,0.0
0,0.070895604,70,0,0.862045985,6001.0,10,0,3,0,0.0
1,0.276827003,48,1,0.572063428,9900.0,14,1,4,0,2.0
0,0.091501834,65,0,0.227013918,9483.0,6,0,2,0,3.0
1,1.584009994,42,3,0.299690642,2585.0,9,3,1,0,0.0
0,1.500998004,40,1,0.481498506,4350.0,4,2,1,0,1.0
0,0.328575974,29,0,0.104575163,4130.0,10,0,0,0,0.0
1,0.132257698,26,0,0.028309742,1200.0,3,0,0,0,0.0
1,0.084312931,46,0,504.0,,4,0,1,0,0.0
0,0.632279534,41,2,0.034482759,5625.0,4,1,0,1,2.0
0,0.129823265,46,0,0.71451983,3050.0,16,0,3,0,2.0
1,0.799913761,55,0,0.685566225,6560.0,21,0,2,0,1.0
1,1.14803248,28,1,0.945775536,1585.0,4,0,1,0,0.0
0,0.071421865,51,0,0.103843947,12200.0,8,0,1,0,2.0
1,0.81054584,57,2,1.141452126,3456.0,29,0,1,1,1.0
0,0.452461902,58,0,0.162667946,2083.0,5,0,0,0,0.0
0,0.027848423,71,0,2218.0,,12,0,1,0,0.0
0,0.020698965,48,0,1864.0,,2,0,1,0,0.0
0,0.163425493,61,0,1853.0,,9,0,1,0,0.0
0,0.029376471,62,0,2801.0,,11,0,1,0,0.0
0,0.613172375,72,0,0.698365082,6666.0,10,0,2,0,0.0
0,0.01337076,70,0,0.074074074,5750.0,12,0,0,0,0.0
0,0.860605576,57,1,6.14071607,1200.0,15,0,4,0,0.0
1,0.9999999,51,4,0.363837068,9058.0,5,2,1,1,2.0
0,0.9999999,42,0,0.217236784,2250.0,1,0,0,0,2.0
0,0.188246141,36,0,2459.0,,6,0,1,0,1.0
1,0.0,47,0,0.131658114,5650.0,4,0,1,0,2.0
1,0.476717152,59,0,3792.0,,10,0,2,0,0.0
0,0.052161271,49,0,0.067629397,6993.0,5,0,0,0,1.0
1,1.038919661,72,4,0.342624207,14350.0,8,0,2,0,0.0
0,0.031949201,75,0,0.008603124,4416.0,3,0,0,0,0.0
0,0.005238056,48,2,9573.0,,7,0,2,0,1.0
1,1.253651038,56,2,427.0,,4,2,0,0,0.0
0,0.005999676,80,0,3.0,,3,0,0,0,0.0
1,0.9999999,53,0,0.069331668,3201.0,2,0,0,0,0.0
1,0.552147239,55,0,22.0,,3,0,0,0,0.0
0,0.0,46,0,0.278906093,4972.0,5,0,2,0,2.0
1,0.865913409,32,3,0.190106993,6448.0,11,0,0,1,4.0
0,0.003999917,70,0,0.169478815,8000.0,8,0,1,0,1.0
0,0.086371152,37,0,0.505552128,3241.0,5,0,1,0,1.0
1,1.142952349,25,0,102.0,,1,0,0,0,0.0
0,0.986343072,42,0,0.255304966,9000.0,8,0,1,0,2.0
1,0.920696812,32,3,0.549408432,6000.0,11,1,1,0,4.0
0,0.058919744,63,0,53.0,,9,0,0,0,
0,0.000291537,41,0,0.278622956,14000.0,10,0,2,0,3.0
1,0.975304278,44,0,2597.0,,10,1,0,0,0.0
0,0.0,84,0,0.0,2040.0,14,0,0,0,0.0
0,0.136399477,60,0,2762.0,,15,0,1,0,0.0
1,0.093460415,59,1,0.396800711,4500.0,12,0,1,0,0.0
1,0.9999999,32,98,0.0,1800.0,0,98,0,98,0.0
1,0.9999999,67,2,706.0,,2,3,0,2,0.0
1,0.610310179,62,0,0.237689745,2700.0,7,17,0,0,0.0
1,0.830633873,32,0,0.029757619,4166.0,1,3,0,0,0.0
0,0.103459169,50,0,98.0,,5,0,0,0,0.0
0,0.132811651,40,0,0.009651475,3729.0,3,0,0,0,0.0
0,0.206979302,58,0,2328.0,,8,0,2,0,0.0
1,0.015538063,55,0,0.156947684,3000.0,5,0,0,0,0.0
0,0.007347285,52,1,0.280898876,5517.0,6,0,1,0,0.0
0,0.393485947,47,1,554.0,,15,0,0,0,0.0
1,0.204504614,39,0,0.207267833,5200.0,9,0,0,0,0.0
0,0.951220274,49,0,0.407265456,6000.0,10,0,1,0,3.0
1,0.9999999,45,1,0.102811434,8500.0,2,1,0,0,4.0
0,0.045383903,68,0,598.0,,8,0,0,0,
1,0.998625172,48,1,0.137595944,14200.0,4,3,0,2,3.0
0,0.0999001,22,0,0.00487013,615.0,3,0,0,0,0.0
1,1.092467298,44,3,0.300569143,6500.0,40,0,0,0,1.0
1,0.47310554,28,0,0.19666374,3416.0,17,0,0,0,0.0
1,1.422867514,41,0,0.237961138,3550.0,6,1,0,6,4.0
1,0.930645383,48,1,1291.0,,12,0,0,0,0.0
0,0.004512962,63,0,0.188233589,6900.0,14,0,1,0,0.0
0,0.169896069,43,0,0.272563641,11666.0,6,0,2,0,4.0
1,0.114832188,69,0,1.411149826,6600.0,20,0,8,0,0.0
1,0.521801393,44,0,0.11936008,8000.0,4,0,0,0,2.0
0,0.846034215,29,0,0.116402116,1889.0,2,0,0,0,0.0
1,0.947026487,35,3,0.110773439,6580.0,9,0,0,0,2.0
0,0.111460737,67,0,0.813501751,18841.0,12,0,7,0,0.0
1,0.040564773,71,0,0.291714123,7023.0,15,0,2,0,2.0
0,0.30439927,50,0,0.916260335,4716.0,12,0,2,0,2.0
1,0.0,54,0,3604.0,,7,0,1,0,0.0
1,0.9999999,51,0,0.008703481,3331.0,0,3,0,0,0.0
1,1.04450121,39,5,0.139683421,3600.0,4,3,0,0,2.0
0,0.982689747,30,1,0.197334321,2700.0,4,0,0,0,0.0
0,0.126144143,34,0,0.395285203,4750.0,7,0,1,0,0.0
1,0.738771769,33,0,5146.0,,10,0,2,0,0.0
1,0.448305821,38,1,29.0,,4,2,0,0,0.0
1,0.228545114,49,4,771.0,,11,0,0,1,3.0
0,0.368979501,31,0,624.0,,2,0,0,0,
1,0.717607973,46,0,0.001969399,6600.0,2,1,0,1,0.0
0,0.005809413,46,0,0.008639309,925.0,11,0,0,0,0.0
1,0.71314741,25,0,0.144663334,3400.0,2,2,0,1,0.0
1,0.664174058,62,2,0.478468113,6083.0,19,1,2,0,1.0
0,0.884627218,27,0,0.268576061,3700.0,7,0,0,0,0.0
0,0.319283132,60,0,0.120952735,5373.0,8,0,0,0,0.0
1,0.9999999,58,0,0.001831781,6550.0,0,0,0,1,0.0
1,0.908366534,35,2,0.23431427,1800.0,3,1,0,1,0.0
1,0.917356663,39,0,1.197710718,1921.0,3,1,1,1,4.0
0,0.382202225,32,0,0.436791824,4500.0,11,0,1,0,1.0
0,0.198872761,74,0,0.057630109,3400.0,3,0,0,0,0.0
1,0.223283206,53,1,0.202449388,4000.0,22,0,0,1,0.0
1,0.007162986,59,0,0.990577434,4138.0,30,0,2,0,1.0
1,1.005293835,50,0,0.225109956,2500.0,7,0,0,0,3.0
0,0.9999999,44,0,0.117095508,4585.0,1,0,0,0,5.0
1,0.748644758,46,0,0.936659772,3867.0,14,0,1,0,4.0
1,0.9999999,51,1,0.615943225,6058.0,8,0,2,1,0.0
1,0.9999999,55,0,0.399280576,2501.0,4,1,0,0,0.0
0,0.0,57,0,1855.0,,6,0,1,0,0.0
1,0.9999999,38,0,0.0,2500.0,1,2,0,0,2.0
1,0.048073681,60,2,2421.0,,20,0,1,0,3.0
1,0.434846746,45,0,396.0,,4,1,0,0,0.0
0,0.720913006,63,0,0.875024995,5000.0,12,0,0,0,0.0
0,0.133157315,35,0,0.207272727,1924.0,7,0,0,0,1.0
1,0.999300797,56,4,0.173376275,3725.0,7,1,0,4,0.0
0,0.0,36,1,0.508093995,5744.0,7,0,1,0,3.0
0,0.006607714,65,1,0.234437125,33701.0,11,0,3,0,1.0
0,0.870156261,64,1,0.625116651,7500.0,23,0,2,1,1.0
1,0.9999999,40,0,0.0,2231.0,0,2,0,0,3.0
0,0.264462006,45,0,0.899504806,3432.0,13,0,3,0,0.0
0,0.019518146,53,0,0.486982115,4416.0,8,0,1,0,0.0
1,0.088828398,35,0,0.335305391,12000.0,9,0,1,0,0.0
0,0.9999999,45,1,0.370062754,10835.0,3,0,2,0,0.0
1,0.85341477,47,1,0.210817796,5416.0,8,0,0,0,1.0
1,0.942902569,52,0,0.519118997,13075.0,14,3,2,2,1.0
1,0.270057665,74,1,0.524914005,10174.0,10,0,2,0,0.0
0,0.971378161,27,1,0.12841439,6003.0,9,0,0,1,0.0
1,0.827242525,61,0,0.01029897,10000.0,1,1,0,0,0.0
0,0.647193258,45,0,0.405750225,5564.0,8,0,1,0,2.0
0,0.058901659,56,0,0.252482811,7853.0,14,0,2,0,3.0
0,0.060587882,25,0,0.097944825,5400.0,2,0,0,0,0.0
1,0.9999999,25,0,41.0,,0,1,0,0,0.0
0,0.422467288,51,0,0.430760499,1761.0,10,0,0,0,2.0
0,0.0,32,0,0.0,,7,0,0,0,0.0
0,0.187282323,62,0,0.466958675,5250.0,9,0,2,0,2.0
1,0.487358949,48,2,0.49331505,8750.0,9,1,3,0,2.0
1,0.9999999,38,0,0.250573496,5666.0,4,2,1,1,3.0
0,0.357988383,35,1,0.8005997,2000.0,10,0,2,0,2.0
1,0.653056973,53,0,0.06841612,3200.0,6,0,0,0,0.0
0,0.058963878,81,2,0.114977005,5000.0,18,0,0,0,0.0
0,0.0,85,0,0.000249938,4000.0,11,0,0,0,0.0
1,0.42108178,51,0,0.194532338,7900.0,7,0,1,1,2.0
0,0.283578208,67,0,0.138417058,8300.0,10,0,1,0,0.0
0,0.041116711,65,0,0.249517977,8816.0,10,0,3,0,1.0
1,1.020020625,44,1,0.573895655,5500.0,10,0,1,1,0.0
0,0.911359096,55,1,0.228506141,3500.0,13,0,0,0,2.0
1,1.002173441,25,2,0.096737908,8000.0,4,0,0,0,0.0
0,0.130813701,70,0,0.133987239,10500.0,11,0,1,0,0.0
0,0.069138298,46,1,0.434596855,11000.0,12,0,1,0,0.0
1,0.968555252,56,0,0.455966839,13750.0,17,0,1,0,6.0
0,0.484084124,62,0,0.249646393,8483.0,5,0,1,0,0.0
1,0.837410072,57,1,0.691077231,4000.0,10,0,1,0,0.0
1,0.589482104,42,3,985.0,,9,2,0,0,2.0
0,0.418401033,57,0,0.382026091,12417.0,17,0,2,0,0.0
1,0.9999999,27,0,0.002719565,6250.0,0,1,0,1,4.0
0,0.352675269,48,1,0.198477571,35600.0,22,0,2,2,2.0
1,0.0,36,0,0.680863827,5000.0,9,0,4,0,1.0
1,0.826458523,38,1,2439.0,,10,4,1,1,0.0
0,0.010349483,66,0,773.0,,8,0,1,0,0.0
1,0.018899055,62,1,1517.0,,5,0,2,0,0.0
1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0
1,0.9999999,48,0,0.0,,0,1,0,0,0.0
1,0.001602393,61,0,0.355582898,3250.0,12,0,1,0,1.0
1,0.9999999,51,2,0.102388298,8750.0,4,0,0,0,1.0
1,0.859407305,43,0,0.216956683,2700.0,5,0,0,0,0.0
1,0.691623789,45,0,0.56922715,8500.0,17,0,4,0,1.0
1,1.025750603,61,3,0.336665334,2500.0,8,1,0,1,0.0
1,0.0,29,0,0.325306679,2200.0,12,0,0,0,0.0
0,0.0464048,61,0,0.004084219,14200.0,3,0,0,0,1.0
1,1.019994446,28,0,452.5,1.0,11,0,0,0,3.0
0,0.007150892,40,0,0.211501478,21318.0,4,0,2,0,2.0
0,0.0,41,0,4013.0,,4,0,1,0,0.0
1,0.748748416,42,0,0.566644015,10300.0,23,0,4,0,4.0
1,0.196020166,38,0,0.508865485,7500.0,10,0,2,0,0.0
0,0.910577574,49,0,0.341822298,5300.0,9,0,2,0,0.0
0,0.053834571,69,0,0.011903619,10416.0,11,0,0,0,0.0
0,0.0,37,0,0.428293316,1540.0,13,0,1,0,2.0
1,1.022703603,44,2,0.200471991,8050.0,6,2,0,2,1.0
0,1.083944037,25,1,0.381954184,6416.0,4,2,0,0,0.0
1,0.9999999,43,1,0.253807107,2166.0,3,0,0,1,0.0
0,0.956529549,33,0,0.222841226,14000.0,8,0,2,0,3.0
1,0.926688791,46,0,0.600690165,4056.0,9,0,1,0,2.0
1,0.0,41,0,5655.0,,11,0,6,0,1.0
1,0.346181743,55,0,0.041132349,4132.0,10,1,0,0,0.0
1,0.705179836,24,1,0.063306955,2400.0,5,0,0,0,0.0
1,0.9999999,30,0,0.005640303,7800.0,0,0,0,1,1.0
1,0.9999999,48,0,0.0,2500.0,0,1,0,0,0.0
1,0.139643044,85,0,0.020185029,3566.0,3,0,0,1,0.0
1,0.209911604,54,0,1.57057257,1501.0,8,0,3,0,0.0
0,0.785606325,28,0,0.236503856,3500.0,8,0,0,0,0.0
1,0.9999999,40,0,0.005782918,2247.0,0,0,0,0,0.0
1,0.910236905,69,1,0.049986846,3800.0,2,0,0,0,0.0
0,0.006145858,57,0,0.010663112,3000.0,19,0,0,0,0.0
1,0.9999999,53,2,0.688007645,4185.0,3,8,1,1,1.0
1,0.25036339,45,0,0.110990059,7342.0,4,2,0,0,5.0
1,0.921014296,73,0,0.437111883,9500.0,12,0,1,0,1.0
1,0.637884553,44,0,0.9073535,7900.0,22,0,2,0,1.0
1,0.673412842,39,0,2095.0,,6,0,1,0,0.0
0,0.062513871,36,0,2068.0,0.0,7,0,2,0,7.0
1,0.864003149,48,0,0.612596119,2730.0,12,0,1,0,0.0
0,0.011471816,68,0,0.151056596,15000.0,6,0,1,0,0.0
0,0.059102072,71,0,0.082065567,14000.0,9,0,0,0,0.0
1,1.012164639,37,3,0.333666583,4000.0,11,0,0,0,2.0
1,0.779388084,64,3,490.0,,7,2,0,1,2.0
1,0.435085695,50,0,0.745512384,4400.0,13,0,1,0,2.0
1,0.642984014,71,2,1473.0,,2,0,1,0,0.0
0,0.015875319,43,0,0.885398072,2800.0,10,0,1,0,1.0
1,0.0,40,5,1600.0,,6,1,1,1,0.0
0,0.017737686,80,0,0.190545572,6176.0,6,0,0,0,0.0
0,0.244658987,53,0,0.915542229,2000.0,13,0,1,0,0.0
1,0.001887271,64,1,656.0,,8,0,0,0,0.0
0,0.9999999,45,0,0.273911553,5833.0,4,0,2,0,2.0
0,0.054238915,66,0,0.158490928,10416.0,6,0,2,0,0.0
0,0.763328603,58,0,0.636421589,4705.0,15,0,2,0,0.0
1,0.974763407,51,2,0.621683968,2600.0,4,0,1,2,2.0
0,0.9999999,79,0,22.0,,1,0,1,0,0.0
0,0.114772131,53,1,0.504460792,6388.0,16,0,4,0,0.0
1,0.9999999,38,0,0.0,4791.0,0,0,0,0,1.0
0,0.000629759,60,0,3107.0,,17,0,2,0,
0,0.009658441,57,0,0.131973605,5000.0,14,0,1,0,0.0
0,0.059077637,33,0,0.828213052,5500.0,6,0,2,0,0.0
0,0.069926204,45,0,0.509164969,5400.0,6,0,1,0,0.0
1,0.61787948,49,0,0.363529871,2560.0,6,0,0,0,0.0
0,0.014082323,75,0,0.148885111,10000.0,6,0,1,0,0.0
0,0.003010329,54,0,2295.0,,23,0,2,0,0.0
1,0.921282799,22,0,1141.0,,14,0,0,0,0.0
0,0.420971354,47,0,0.218872051,6400.0,5,0,1,0,2.0
0,0.0,75,0,0.048991835,6000.0,8,0,0,0,0.0
0,0.058305256,46,0,0.156368726,5000.0,7,0,1,0,0.0
1,0.729272561,45,5,0.376989156,7100.0,7,0,1,0,1.0
0,0.00269706,65,0,623.0,,10,0,1,0,0.0
1,3.523238381,42,0,0.363212263,3000.0,10,0,0,0,1.0
1,0.136994044,35,0,0.021668514,78500.0,4,0,1,0,2.0
0,0.594848404,63,0,1232.0,0.0,4,0,0,0,0.0
0,0.130469423,57,0,1.809911243,1351.0,10,0,1,0,0.0
1,1.061938062,33,0,0.767246551,5000.0,7,2,1,0,0.0
0,0.157224248,55,0,0.230643657,8575.0,7,0,2,0,1.0
1,0.058389031,70,0,0.174603175,14300.0,17,0,2,0,1.0
1,0.9999999,56,0,0.068898066,4600.0,1,2,0,1,0.0
0,0.015792071,59,0,1624.0,,9,0,1,0,1.0
0,0.030391772,56,0,0.125,8303.0,2,0,1,0,1.0
1,0.902016331,43,1,687.0,,2,0,0,0,0.0
1,0.991002999,23,0,0.204530313,1500.0,2,0,0,0,0.0
0,0.9999999,60,0,99.0,,2,2,0,0,0.0
0,0.112855258,64,0,0.307576329,2652.0,6,0,1,0,0.0
0,0.010361672,76,0,1557.0,,6,0,1,0,0.0
1,1.295540892,74,0,1.163560054,8100.0,11,0,6,0,0.0
1,0.0,55,0,0.156331122,10400.0,4,1,1,0,2.0
1,0.419343566,59,0,0.301484388,5860.0,12,0,1,0,0.0
0,0.002285671,80,0,0.001043841,2873.0,4,0,0,0,0.0
1,0.9999999,46,0,0.0,3855.0,0,0,0,0,1.0
1,0.9999999,57,0,0.0,,0,0,0,0,0.0
1,0.014245716,80,2,517.0,,9,2,0,0,
1,0.960968558,45,2,4824.0,,9,5,3,1,0.0
1,0.841660261,41,0,68.0,,5,5,0,0,0.0
0,0.9999999,29,0,0.0,4500.0,0,0,0,0,0.0
1,0.609953211,37,4,0.660161927,4816.0,7,0,1,1,0.0
1,0.733726627,56,2,1.499583403,6000.0,11,0,4,0,3.0
0,0.031837062,65,0,808.0,,10,0,2,0,0.0
0,0.0,55,0,0.0,5200.0,3,0,0,0,0.0
0,0.379848026,56,0,2690.0,,13,0,1,0,0.0
1,0.806193806,37,0,0.595997361,4546.0,12,1,1,0,2.0
1,0.68813979,31,3,0.073325186,9000.0,5,0,0,1,0.0
0,0.109576299,46,0,0.23999077,8666.0,7,0,1,0,2.0
0,0.207545482,48,0,0.207960773,10400.0,11,0,1,0,0.0
1,0.9999999,79,0,0.33230498,2268.0,3,0,0,0,0.0
0,0.004166493,36,0,1.690615493,4272.0,10,0,5,0,0.0
0,0.04969503,55,0,1637.0,,5,0,3,0,0.0
1,1.116601888,23,2,0.037785016,1534.0,3,0,0,0,0.0
1,2.435129741,52,1,0.235224586,3383.0,2,0,0,1,0.0
0,0.788918792,39,1,1979.0,,11,0,1,0,3.0
0,0.149501661,68,0,1754.0,,16,0,2,0,1.0
0,0.338386855,42,0,0.15734349,4200.0,8,0,0,0,0.0
1,0.06908456,28,0,0.517197248,6250.0,12,0,2,0,3.0
0,0.072800185,66,0,0.958928051,3432.0,9,0,2,0,0.0
0,0.451694542,58,0,0.425562299,2800.0,10,0,1,0,0.0
0,0.357201529,40,0,0.579960003,14500.0,9,0,2,0,2.0
1,0.9999999,28,0,0.0,3928.0,1,1,0,0,0.0
1,0.000711095,80,1,0.478645066,12900.0,13,0,4,0,1.0
1,0.926586449,48,0,0.561205273,7433.0,15,0,2,0,0.0
1,0.373138436,60,2,0.33000997,7020.0,21,0,1,0,3.0
0,0.30093654,57,1,0.385909379,11056.0,15,0,1,0,3.0
0,0.002847025,82,0,6.0,,5,0,0,0,0.0
1,0.050101279,57,0,388.0,,8,0,0,0,2.0
1,0.396180542,82,1,0.40874036,3500.0,5,0,0,1,0.0
0,0.403263869,54,1,0.293024696,12916.0,8,0,1,0,0.0
0,0.454359518,25,0,199.0,,9,0,0,0,0.0
0,0.453059825,47,0,0.173019173,4328.0,7,0,0,0,1.0
1,0.9999999,71,1,0.313816494,2800.0,2,0,1,1,0.0
